Council,Priceavg
Bayside City Council,1669638.854
Brimbank City Council,696951.3889
Darebin City Council,955854.4391
Glen Eira City Council,1165405.165
Hobsons Bay City Council,1034066.719
Knox City Council,908025.5336
Manningham City Council,1261652.876
Maribyrnong City Council,860982.7247
Maroondah City Council,928724.2552
Melbourne City Council,1081795.568
Monash City Council,1245718.374
Moonee Valley City Council,1086498.54
Moreland City Council,907884.5423
Port Phillip City Council,1228576.18
Stonnington City Council,1612969.607
Whitehorse City Council,1205904.427
Yarra City Council,1167829.239
