council,all,house,unit,townhouse
Darebin City Council,966,640,236,90
Moreland City Council,829,564,196,69
Glen Eira City Council,700,477,157,66
Moonee Valley City Council,700,479,157,64
Melbourne City Council,663,466,125,72
Maribyrnong City Council,626,407,162,57
Brimbank City Council,566,402,105,59
Bayside City Council,512,349,110,53
Port Phillip City Council,472,329,103,40
Yarra City Council,436,286,111,39
Monash City Council,399,272,96,31
Stonnington City Council,383,257,91,35
Hobsons Bay City Council,365,251,72,42
Manningham City Council,349,239,79,31
Whitehorse City Council,179,117,41,21
Maroondah City Council,162,126,28,8
Knox City Council,134,82,30,22
